ShiftKey,LineId,Segment,Cluster,Label,Count,Hours
hu3|2026-06-13|day,hu3,pneumatic,Air Pressure,1A07-1B1 Main air valve basic machine pressure not present,6,1.57
hu3|2026-06-13|day,hu3,pneumatic,Other,1082 Tool change active,1,0.56
hu3|2026-06-13|day,hu3,pneumatic,Other,MSM-Valve: At least one station takes longer than maximum allowed,1,0.03
hu3|2026-06-13|day,hu3,pneumatic,Valve on Web,1074 Valve left inserted but not found - Check for valve on web,1,0.14
hu3|2026-06-13|day,hu3,pneumatic,Valve on Web,1074 Valve right out of area - Check for valve on web,1,0.02
hu3|2026-06-13|day,hu3,pneumatic,Valve on Web,1074 Valve right inserted but not found - Check for valve on web,1,0.0
hu3|2026-06-13|day,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,4,0.09
hu3|2026-06-13|day,hu3,handling,Gripper,1406-6B1 Valve in pickup position A not present,4,0.08
hu3|2026-06-13|day,hu3,handling,Fork,1211-2B1 Limit switch fault Fork B in working position,3,0.07
hu3|2026-06-13|day,hu3,handling,Fork,1210-2B1 Limit switch fault Fork A in working position,1,0.02
hu3|2026-06-13|day,hu3,handling,Piston,1082-3B2 Limit switch fault Push out piston lifted,1,0.05
hu3|2026-06-13|day,hu3,handling,Cylinder,1090-2B1 Error Cylinder switch,1,0.02
hu3|2026-06-13|day,hu3,sealing,Sealing Head,1155-1M1 unwinder has reached adjusted current limit,1,0.23
hu3|2026-06-13|day,hu3,sealing,Sealing Head,1408-2M1 Valve infeed in Y has reached adjusted current limit,1,0.07
hu3|2026-06-13|day,hu3,sealing,Printer,1050-3K1 Hot printer B not ready for operation,1,0.06
hu3|2026-06-13|day,hu3,web,End of Reel,1158-5B1 All rolls empty - Please refill!,1,0.18
hu3|2026-06-13|day,hu3,web,End of Reel,1155 End of reel,2,0.15
hu3|2026-06-13|day,hu3,web,End of Reel,1151 End of reel,1,0.14
hu3|2026-06-13|day,hu3,web,End of Reel,1300-2B1 End of reel,1,0.11
hu3|2026-06-13|day,hu3,web,End of Reel,1153 End of reel,1,0.09
hu3|2026-06-13|day,hu3,web,Web Torn,1159-1B1 Web torn,2,0.15
hu3|2026-06-13|day,hu3,web,Web Torn,1158-1B1 Web torn,1,0.07
hu3|2026-06-13|day,hu3,web,Web Torn,1153-1B1 Web torn,2,0.02
hu3|2026-06-13|day,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,3,0.13
hu3|2026-06-13|day,hu3,web,Splice,1159-6GQ1 Vacuum splice module not present,1,0.01
hu3|2026-06-13|night,hu3,handling,Gripper,1406-6B2 Valve in pickup position B not present,7,0.17
hu3|2026-06-13|night,hu3,handling,Fork,1210-2B1 Limit switch fault Fork A in working position,1,0.03
hu3|2026-06-13|night,hu3,web,Splice,1158-6GQ1 Vacuum splice module not present,2,0.17
hu3|2026-06-13|night,hu3,web,Splice,1159-6GQ1 Vacuum splice module not present,1,0.04
hu3|2026-06-13|night,hu3,web,Splice,1120-1B1 Last splice has not been detected,1,0.02
hu3|2026-06-13|night,hu3,web,Splice,1311-1B1 Last splice has not been detected,1,0.01
hu3|2026-06-13|night,hu3,web,Web Torn,1159-1B1 Web torn,4,0.45
hu3|2026-06-13|night,hu3,web,Web Torn,1153-1B1 Web torn,1,0.02
hu3|2026-06-13|night,hu3,web,End of Reel,1155 End of reel,1,0.14
hu3|2026-06-13|night,hu3,web,End of Reel,1151 End of reel,1,0.13
